System information:
Version                                  | VisiWin7 7.2
Framework                                | DotNet
Project                                  | Single
VisiWin.S7_TIA.Brw.dll           | 3.0.1.56(Debug=False)
VisiWin.Browser.Components.Shared.dll | 7.0.0.41(Debug=False)

Messages
1/18/2023 3:22:34 PM   | Message | Attention: Some items in the PLC project contain special characters. | TIAParser.FormatName() | 
1/18/2023 3:22:34 PM   | Message | Datatype "S7_WString" of item "RFC_RFC_Beschichtung.Sollw"Rezept Name"" is not supported! | TIAParser.CreateMemberInfo() | 
1/18/2023 3:22:34 PM   | Message | Datatype "S7_Pointer" of item "PLC.Blocks.7 Tracking / Kommunikation.IDB PC Data Exchange unload.IO# Errors" is not supported! | TIAParser.CreateItemInfo() | 
1/18/2023 3:22:34 PM   | Message | Datatype "S7_Pointer" of item "PLC.Blocks.IDB WTX120 Entladen Hub.Faults" is not supported! | TIAParser.CreateItemInfo() | 
1/18/2023 3:22:34 PM   | Message | Datatype "S7_Any" of item "RFC_IDB HNT Fahrwagen Allgemein Störerfassung.Sammelmeldung"Störungen ohne Teilstart"" is not supported! | TIAParser.CreateMemberInfo() | 
1/18/2023 3:22:34 PM   | Message | Datatype "S7_Any" of item "RFC_IDB HNT Fahrwagen Allgemein Störerfassung.Sammelmeldung"Störung Teilstart"" is not supported! | TIAParser.CreateMemberInfo() | 
1/18/2023 3:22:34 PM   | Message | Datatype "S7_Any" of item "RFC_IDB HNT Fahrwagen Allgemein Störerfassung.SammelmeldungBedienerführungen" is not supported! | TIAParser.CreateMemberInfo() | 
1/18/2023 3:22:34 PM   | Message | Datatype "S7_Variant" of item "RFC_IDB Kühlzone Allgemein.SI6 Positionierungsbausteinactual_values" is not supported! | TIAParser.CreateMemberInfo() | 
1/18/2023 3:22:34 PM   | Message | Datatype "S7_Variant" of item "RFC_IDB Kühlzone Allgemein.SI6 Positionierungsbausteinsetpoint_values" is not supported! | TIAParser.CreateMemberInfo() | 
1/18/2023 3:22:34 PM   | Message | Datatype "S7_Pointer" of item "RFC_IDB Kühlzone Allgemein.SI6 PositionierungsbausteinBetriebsstundenzähler" is not supported! | TIAParser.CreateMemberInfo() | 
1/18/2023 3:22:34 PM   | Message | Datatype "S7_Pointer" of item "RFC_IDB Kühlzone Allgemein.Luftsystem ein Umluft-VentilatorBetriebsstunden" is not supported! | TIAParser.CreateMemberInfo() | 
1/18/2023 3:22:34 PM   | Message | Datatype "S7_Pointer" of item "RFC_IDB Trockner Allgemein.Luftsystem ein Ventilator UmluftBetriebsstunden" is not supported! | TIAParser.CreateMemberInfo() | 
1/18/2023 3:22:34 PM   | Message | Datatype "S7_Pointer" of item "RFC_IDB Trockner Allgemein.Luftsystem ein Ventilator AbluftBetriebsstunden" is not supported! | TIAParser.CreateMemberInfo() | 
1/18/2023 3:22:34 PM   | Message | Datatype "S7_Variant" of item "RFC_IDB Vorzone Allgemein.SI6 Positionierungsbausteinactual_values" is not supported! | TIAParser.CreateMemberInfo() | 
1/18/2023 3:22:34 PM   | Message | Datatype "S7_Variant" of item "RFC_IDB Vorzone Allgemein.SI6 Positionierungsbausteinsetpoint_values" is not supported! | TIAParser.CreateMemberInfo() | 
1/18/2023 3:22:34 PM   | Message | Datatype "S7_Pointer" of item "RFC_IDB Vorzone Allgemein.SI6 PositionierungsbausteinBetriebsstundenzähler" is not supported! | TIAParser.CreateMemberInfo() | 
1/18/2023 3:22:34 PM   | Message | Datatype "S7_Pointer" of item "RFC_IDB Vorzone Allgemein.Luftsystem ein Ventilator UmluftBetriebsstunden" is not supported! | TIAParser.CreateMemberInfo() | 
1/18/2023 3:22:34 PM   | Message | Datatype "S7_Pointer" of item "RFC_IDB Vorzone Allgemein.Luftsystem ein Ventilator AbluftBetriebsstunden" is not supported! | TIAParser.CreateMemberInfo() | 
1/18/2023 3:22:34 PM   | Message | Datatype "S7_Any" of item "RFC_IDB Kommunikatios Störerfassung.IDB Sammelmeldung"Störungen ohne Teilstart"" is not supported! | TIAParser.CreateMemberInfo() | 
1/18/2023 3:22:34 PM   | Message | Datatype "S7_Any" of item "RFC_IDB Kommunikatios Störerfassung.IDB Sammelmeldung"Störung Teilstart"" is not supported! | TIAParser.CreateMemberInfo() | 
1/18/2023 3:22:34 PM   | Message | Datatype "S7_Any" of item "RFC_IDB Kommunikatios Störerfassung.IDB SammelmeldungBedienerführungen" is not supported! | TIAParser.CreateMemberInfo() | 
1/18/2023 3:22:34 PM   | Message | Datatype "S7_Any" of item "RFC_IDB Qualität Störerfassung.IDB Sammelmeldung"Störungen ohne Teilstart"" is not supported! | TIAParser.CreateMemberInfo() | 
1/18/2023 3:22:34 PM   | Message | Datatype "S7_Any" of item "RFC_IDB Qualität Störerfassung.IDB Sammelmeldung"Störung Teilstart"" is not supported! | TIAParser.CreateMemberInfo() | 
1/18/2023 3:22:34 PM   | Message | Datatype "S7_Any" of item "RFC_IDB Qualität Störerfassung.IDB SammelmeldungBedienerführungen" is not supported! | TIAParser.CreateMemberInfo() | 
1/18/2023 3:22:34 PM   | Message | Datatype "S7_Any" of item "RFC_IDB Trockner Transport Befehlsausgabe.Wechsel fahren nach"Fahre nach Aufträge"" is not supported! | TIAParser.CreateMemberInfo() | 
1/18/2023 3:22:34 PM   | Message | Datatype "S7_Variant" of item "RFC_IDB Trockner Transport Befehlsausgabe.SI6 Positionierungsbausteinactual_values" is not supported! | TIAParser.CreateMemberInfo() | 
1/18/2023 3:22:34 PM   | Message | Datatype "S7_Variant" of item "RFC_IDB Trockner Transport Befehlsausgabe.SI6 Positionierungsbausteinsetpoint_values" is not supported! | TIAParser.CreateMemberInfo() | 
1/18/2023 3:22:34 PM   | Message | Datatype "S7_Pointer" of item "RFC_IDB Trockner Transport Befehlsausgabe.SI6 PositionierungsbausteinBetriebsstundenzähler" is not supported! | TIAParser.CreateMemberInfo() | 
1/18/2023 3:22:34 PM   | Message | Datatype "S7_Any" of item "RFC_IDB Kühlzone Transport Befehlsausgabe.Wechsel fahren nach"Fahre nach Aufträge"" is not supported! | TIAParser.CreateMemberInfo() | 
1/18/2023 3:22:34 PM   | Message | Datatype "S7_Variant" of item "RFC_IDB Kühlzone Transport Befehlsausgabe.SI6 Positionierungsbausteinactual_values" is not supported! | TIAParser.CreateMemberInfo() | 
1/18/2023 3:22:34 PM   | Message | Datatype "S7_Variant" of item "RFC_IDB Kühlzone Transport Befehlsausgabe.SI6 Positionierungsbausteinsetpoint_values" is not supported! | TIAParser.CreateMemberInfo() | 
1/18/2023 3:22:34 PM   | Message | Datatype "S7_Pointer" of item "RFC_IDB Kühlzone Transport Befehlsausgabe.SI6 PositionierungsbausteinBetriebsstundenzähler" is not supported! | TIAParser.CreateMemberInfo() | 
1/18/2023 3:22:34 PM   | Message | Datatype "S7_Pointer" of item "RFC_IDB Materialverfolung Modul 4.PC Request handler Regal schreiben"IO# Errors"" is not supported! | TIAParser.CreateMemberInfo() | 
1/18/2023 3:22:34 PM   | Message | Datatype "S7_Pointer" of item "RFC_IDB Materialverfolung Modul 4.PC Request handler Regal löschen"IO# Errors"" is not supported! | TIAParser.CreateMemberInfo() | 
1/18/2023 3:22:34 PM   | Message | Datatype "S7_Pointer" of item "RFC_IDB Materialverfolung Modul 4.PC Request handler Entladen empfangen"IO# Errors"" is not supported! | TIAParser.CreateMemberInfo() | 
1/18/2023 3:22:34 PM   | Message | Datatype "S7_Any" of item "RFC_IDB Vorzone Störerfassung.Sammelmeldung"Störungen ohne Teilstart"" is not supported! | TIAParser.CreateMemberInfo() | 
1/18/2023 3:22:34 PM   | Message | Datatype "S7_Any" of item "RFC_IDB Vorzone Störerfassung.Sammelmeldung"Störung Teilstart"" is not supported! | TIAParser.CreateMemberInfo() | 
1/18/2023 3:22:34 PM   | Message | Datatype "S7_Any" of item "RFC_IDB Vorzone Störerfassung.SammelmeldungBedienerführungen" is not supported! | TIAParser.CreateMemberInfo() | 
1/18/2023 3:22:34 PM   | Message | Datatype "S7_Pointer" of item "RFC_IDB Vorzone Störerfassung.Stöber Umrichter Störungen"Anstehende Meldungen"" is not supported! | TIAParser.CreateMemberInfo() | 
1/18/2023 3:22:34 PM   | Message | Datatype "S7_Pointer" of item "RFC_IDB Vorzone Störerfassung.Heizung Steller Störungen"Anstehende Meldungen"" is not supported! | TIAParser.CreateMemberInfo() | 
1/18/2023 3:22:34 PM   | Message | Datatype "S7_Any" of item "RFC_IDB Trockner Störerfassung.Sammelmeldung"Störungen ohne Teilstart"" is not supported! | TIAParser.CreateMemberInfo() | 
1/18/2023 3:22:34 PM   | Message | Datatype "S7_Any" of item "RFC_IDB Trockner Störerfassung.Sammelmeldung"Störung Teilstart"" is not supported! | TIAParser.CreateMemberInfo() | 
1/18/2023 3:22:34 PM   | Message | Datatype "S7_Any" of item "RFC_IDB Trockner Störerfassung.SammelmeldungBedienerführungen" is not supported! | TIAParser.CreateMemberInfo() | 
1/18/2023 3:22:34 PM   | Message | Datatype "S7_Pointer" of item "RFC_IDB Trockner Störerfassung.Heizung 1 Steller Störungen"Anstehende Meldungen"" is not supported! | TIAParser.CreateMemberInfo() | 
1/18/2023 3:22:34 PM   | Message | Datatype "S7_Pointer" of item "RFC_IDB Trockner Störerfassung.Heizung 2 Steller Störungen"Anstehende Meldungen"" is not supported! | TIAParser.CreateMemberInfo() | 
1/18/2023 3:22:34 PM   | Message | Datatype "S7_Any" of item "RFC_IDB Ofen Allgemein Störerfassung.IDB Sammelmeldung"Störungen ohne Teilstart"" is not supported! | TIAParser.CreateMemberInfo() | 
1/18/2023 3:22:34 PM   | Message | Datatype "S7_Any" of item "RFC_IDB Ofen Allgemein Störerfassung.IDB Sammelmeldung"Störung Teilstart"" is not supported! | TIAParser.CreateMemberInfo() | 
1/18/2023 3:22:34 PM   | Message | Datatype "S7_Any" of item "RFC_IDB Ofen Allgemein Störerfassung.IDB SammelmeldungBedienerführungen" is not supported! | TIAParser.CreateMemberInfo() | 
1/18/2023 3:22:34 PM   | Message | Datatype "S7_Variant" of item "RFC_IDB HNT Fahrwagen Befehlsausgabe.SI6 Positionierungsbausteinactual_values" is not supported! | TIAParser.CreateMemberInfo() | 
1/18/2023 3:22:34 PM   | Message | Datatype "S7_Variant" of item "RFC_IDB HNT Fahrwagen Befehlsausgabe.SI6 Positionierungsbausteinsetpoint_values" is not supported! | TIAParser.CreateMemberInfo() | 
1/18/2023 3:22:34 PM   | Message | Datatype "S7_Pointer" of item "RFC_IDB HNT Fahrwagen Befehlsausgabe.SI6 PositionierungsbausteinBetriebsstundenzähler" is not supported! | TIAParser.CreateMemberInfo() | 
1/18/2023 3:22:34 PM   | Message | Datatype "S7_Any" of item "RFC_IDB HNT Fahrwagen Befehlsausgabe.Wechsel fahren nach"Fahre nach Aufträge"" is not supported! | TIAParser.CreateMemberInfo() | 
1/18/2023 3:22:34 PM   | Message | Datatype "S7_Any" of item "RFC_IDB HNT Fahrwagen Störerfassung.IDB Sammelmeldung"Störungen ohne Teilstart"" is not supported! | TIAParser.CreateMemberInfo() | 
1/18/2023 3:22:34 PM   | Message | Datatype "S7_Any" of item "RFC_IDB HNT Fahrwagen Störerfassung.IDB Sammelmeldung"Störung Teilstart"" is not supported! | TIAParser.CreateMemberInfo() | 
1/18/2023 3:22:34 PM   | Message | Datatype "S7_Any" of item "RFC_IDB HNT Fahrwagen Störerfassung.IDB SammelmeldungBedienerführungen" is not supported! | TIAParser.CreateMemberInfo() | 
